Date,Type,Description,Debit amount,Credit amount,Balance
2023-12-13,credit,top-up,0.0,2000.0,2000.0
2023-12-14,FPI,gift,0.0,250.0,2250.0
2023-12-17,FPI,za pracę nad projektem :),0.0,800.0,3050.0
2023-12-18,FPI, Od: Sophia - za app.py,0.0,50.0,3100.0
2023-12-19,FPO, Od: Marcin za perfumy,50.0,0.0,3050.0
2023-12-20,FPO, Od: Marcin - za robote nad projektem,50.0,0.0,3000.0
2023-12-20,FPO, Od: Marcin - drinks,100.0,0.0,2900.0
2023-12-20,FPO, Od: Marcin - drinks,100.0,0.0,2900.0
2023-12-20,FPO, Od: Marcin gift,150.0,0.0,2850.0
2023-12-20,FPO, Od: Marcin - zakupy,20.0,0.0,2980.0
2023-12-20,FPI, Od: Bauron INC - projekt,0.0,5000.0,8000.0
2023-12-22,DD,Grocery 1,65.0,0.0,7935.0
2023-12-22,DD,Grocery 2 purchase,50.0,0.0,7885.0
2023-12-22,DD,Grocery - Fish & meat purchase,45.0,0.0,7840.0
2023-12-22,DD,Grocery - Bread and rolls purchase,25.0,0.0,7815.0
2023-12-22,DD,Grocery - Fruits & veggies purchase,100.0,0.0,7715.0
2023-12-22,DD,Grocery - Fish & meat purchase,100.0,0.0,7615.0
2023-12-22,DD,Grocery - Bread and rolls purchase,25.0,0.0,7590.0
2023-12-22,DD,Gas purchase,50.0,0.0,7540.0
2023-12-22,DD,Electric purchase,60.0,0.0,7480.0
2023-12-22,FPO, Od: Marcin,480.0,0.0,7455.0
2023-12-22,FPO, Od: Marcin,155.0,0.0,7300.0
2023-12-27,FPO, Od: Marcin - na Sylwestra,300.0,0.0,7000.0
2023-12-27,DD,Grocery - Fruits & veggies purchase,50.0,0.0,6950.0
2023-12-30,FPI, Od: Kasia - za projekt,0.0,1000.0,7950.0
2023-12-30,DD,Grocery - Fruits & veggies purchase,50.0,0.0,7900.0
2024-01-06,FPI, Od: Paul - za projekt,0.0,2500.0,10400.0
2024-01-10,FPO, Od: Marcin,20.0,0.0,10380.0
2024-01-12,DD,Clothes purchase,150.0,0.0,10230.0
2024-01-12,DD,Clothes purchase,150.0,0.0,10080.0
2024-01-12,DD,Grocery - Bread and rolls purchase,25.0,0.0,10055.0
2024-01-12,DD,Grocery - Fruits & veggies purchase,50.0,0.0,10005.0
2024-01-17,SAL,Salary,0.0,1600.0,11600.0
2024-01-26,FPI, Od: Sophia - na projekt,0.0,1050.0,12650.0
2024-01-26,DEB,Clothes purchase,150.0,0.0,12500.0
2024-01-26,DEB,Clothes purchase,150.0,0.0,12350.0
2024-01-26,DEB,Petrol purchase,120.0,0.0,12230.0
2024-01-26,DEB,Grocery - Dairy purchase,65.0,0.0,12165.0
2024-01-26,DEB,Grocery - Dairy purchase,65.0,0.0,12100.0
